course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
Acc,124,Principles of Accounting I,Accounting theory and methods used to record and report financial information for services and merchandising businesses. Topics include steps in the accounting cycle and use of basic financial statements. This course includes subject matter customary to introductory financial accounting courses numbered at the 200-level.,3,Accounting,383190,Pre: “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102; Lecture Hours: 3
Acc,125,Principles of Accounting II,Deleted.,3,Accounting,383190,
Acc,126,Principles of Accounting III,Deleted,3,Accounting,383190,
Acc,130,Hospitality Accounting I,"Provides a basis for understanding hospitality accounting procedures, the processing of hospitality financial data, and the flow of financial information in the accounting cycle that results in the production of financial statements. Students receiving 69 or better on the final examination will be issued a certificate from the Educational Institute of the American Hotel and Motel Association.",3,Accounting,383190,Pre: “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102; Lecture Hours: 3
Acc,132,Payroll and Hawai‘i General Excise Tax,"Introduces the principles, manual and computerized procedures, and terminology for business applications of payroll accounting. Includes preparation and filing of federal and Hawai‘i state forms for payroll taxes and the Hawai‘i General Excise and Use Tax.",3,Accounting,383190,Pre: “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102; Lecture Hours: 3
Acc,134,Individual Income Tax Preparation,Introduces the preparation of Federal and State of Hawai‘i individual income tax returns with an emphasis on tax law and regulations and their applications to tax returns. This course is intended for an individual preparing basic individual tax returns under the supervision of an accounting professional.,3,Accounting,383190,Pre: “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102; Lecture Hours: 3
Acc,155,Spreadsheets in Accounting,A hands-on accounting course designed to help students apply the knowledge of the accounting process to a computerized environment using an electronic spreadsheet.,3,Accounting,383190,Pre: “C” or better in Eng 21 or “C” or better in ESL 21 or placement in Eng 102; Lecture Hours: 3
Acc,193V,Cooperative Education,"Provides practical career-related work experience through a program used nationally in colleges and universities to apply classroom knowledge and to develop job competencies. Full-time or part-time work in private and public sectors of the business, government and industrial communities is utilized for this program. The number of credits earned depends upon the number of hours spent at the job station during the semester.",1-3,Accounting,383190,Pre: Consent of program faculty; Lecture Hours: variable
Acc,201,Introduction to Financial Accounting,"An introduction to accounting principles and practices used to record and communicate financial information. Analyze methods for valuating assets, liabilities, and equity of an organization.",3,Accounting,383190,Pre: “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102; Lecture Hours: 3
Acc,202,Introduction to Managerial Accounting,"An introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, ratio analysis, standard cost systems, and reporting for internal decision making.",3,Accounting,383190,Pre: “C” or better in Acc 201; Lecture Hours: 3
Acc,252,Using Quickbooks in Accounting,Provides a hands-on approach to computerized accounting using QuickBooks. Applies previously acquired accounting skills and knowledge in a computerized environment. Emphasis will be placed on the application of QuickBooks to the accounting cycle.,3,Accounting,383190,Pre: “C” or better in Acc 124 or “C” or better in Acc 201; and “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102; Lecture Hours: 3
Acc,255,Using Spreadsheets in Accounting II,Provides hands-on training in the use of spreadsheet software on computers to solve accounting problems. Applies previously acquired accounting skills and knowledge. Emphasizes financial and managerial accounting.,3,Accounting,383190,Pre: “C” or better in Acc 155; Lecture Hours: 3
Acc,295,Accounting Capstone,"Provides accounting majors with the opportunity to integrate the knowledge and skills they have acquired into the work environment as they complete meaningful productive tasks. Additionally, students will complete a capstone project that requires them to utilize their critical thinking skills in synthesizing previous course work and extend and develop their own original ideas.",3,Accounting,383190,Pre: “C” or better in Acc 124 and “C” or better in Acc 155 and “C” or better in Acc 252; Lecture Hours: 3
AJ,101,Introduction to Administration of Justice,"Focuses on history, philosophy, and language of the criminal justice system. The role of law enforcement, prosecutor, public defender, courts, and corrections is examined. Social aspects of change and how it affects the criminal justice system also explored.",3,Administration of Justice,383190,"PreReq: Eng 21 or ESL 21 or placement in Eng 102; and Eng 22 or (ESL 22G and ESL 22W) or placement in Eng 100 or placement in Eng 100E
(3 lec hrs.)"
AJ,103,Criminal Investigations I,"An introductory course in criminal investigations. The nature of investigations, fingerprint classification, the role of the laboratory, and specific offense investigation will be explored. The class will also discuss interview and interrogation and search and seizure techniques.",3,Administration of Justice,383190,"PreReq: Eng 21 or ESL 21 or placement in Eng 102; and Eng 22 or (ESL 22G and ESL 22W) or placement in Eng 100 or placement in Eng 100E
(3 lec hrs.)"
AJ,104,Criminalistics,"Advanced course work in forensic science (Legal Scientific Investigation), with its contributions to both Crime Scene Investigations and Laboratory Analysis. Specific field and laboratory investigative techniques in violent crimes and other major felonies will be explored.",3,Administration of Justice,383190,"PreReq: AJ 103
(3 lec hrs.)"
AJ,130,Introduction to Youth Practitioner,"Introduces the core skills needed by youth practitioners. Focuses on basic communication skills, growth and development of adolescents, family and cultures and their roles in development, and youth with special needs. Develops teamwork and basic workforce skills. Also useful for in-service administration of justice, human services and substance use disorder counseling professionals seeking to upgrade their knowledge and skills in community-based prevention programs for youth and families. Students who successfully complete AJ 130, or HSer 130, or SUDs 130 with a “C” grade or better are eligible to receive 45 hours of prevention studies education from the State of Hawai‘i Department of Health - Alcohol and Drug Abuse Division towards Prevention Specialist Certification.",3,Administration of Justice,383190,"Cross-listed as HSer 130 and SUDs 130
PreReq: Eng 20 or ESL 20 or placement in Eng 22 or (placement in ESL 22G and placement in ESL 22W)
Recommended: AJ 210 or HSer 110
(3 lec hrs.)"
AJ,131,Ethics in Public Services,"Professional codes of ethics, its legal perimeters, and the concepts of values, boundaries, morals, and confidentiality within public services professions of criminal justice, human services, and substance use disorder counseling will be explored, analyzed, and discussed.",1,Administration of Justice,383190,"Cross-listed as HSer 131 and SUDs 131
PreReq: “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102
(1 lec hr.)"
AJ,150,The Correctional Process,"Examines the history of punishment and corrections. Discusses laws, records, inmate classification, treatment programs, disciplinary procedures, and supervisory techniques.",3,Administration of Justice,383190,(3 lec hrs.)
AJ,170,Introduction to Private Security,"Surveys the concepts and issues in the administration of security. Defines public versus private security roles for retail business, industry, and governmental agencies. Provides an overview of the functions of various security activities.",3,Administration of Justice,383190,"PreReq: “C” or better in Eng 21 or “C” or better in ESL 21 or “C” or better in Eng 22 or (“C” or better in ESL 22G and “C” or better in ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102
(3 lec hrs.)"
AJ,180,Introduction to Homeland Security,"An examination of the history of terrorism, focusing on the terrorists, who they are, and how they operate. Responses to domestic and international terrorism will be discussed along with analyzing future trends.",3,Administration of Justice,383190,"PreReq: AJ 101
(3 lec hrs.)"
AJ,181,Intelligence Analysis and Security Management,"Examines intelligence analysis and its indispensable relationship to the security management of terrorist attacks and other threats. Explores vulnerabilities of our national defense and private sectors, as well as the threats posed to these institutions by terrorists, man-made disasters, and natural disasters. Students will discuss substantive issues regarding intelligence support of the Homeland Security measures implemented by the United States and explore the operations of the intelligence community and first responders involved in security management and public safety at the local, state, and national levels.",3,Administration of Justice,383190,"PreReq: AJ 180
(3 lec hrs.)"
AJ,182,Transportation and Border Security,"Provides a foundational overview of modern border and transportation security of the United States. Specific topics include security for seaports, ships, aircraft, trains, trucks, pipelines, buses, etc. Focuses on the technology needed to detect terrorists and their weapons as well as includes discussion on legal, economic, political, and cultural aspects of the problem.",3,Administration of Justice,383190,"PreReq: AJ 180
(3 lec hrs.)"
AJ,208,Criminology,"Explores crime and the body of knowledge regarding it as a social phenomenon. An emphasis is placed on the analysis of crime, crime causation, crime variables, impact on society, and societal reactions to crime.",3,Administration of Justice,383190,"Cross-listed as Soc 208
PreReq: Eng 21 or ESL 21 or Eng 22 or (ESL 22G and ESL 22W) or placement in Eng 100 or placement in Eng 100E or placement in Eng 102
(3 lec hrs.)"
AJ,210,Juvenile Justice,"Focuses on principles and procedures of arrest, detention, petition, summons, records, and adjudication of the juvenile offender. It introduces the organization and function of the police juvenile unit, community diversion practices and organization of the Family Court.",3,Administration of Justice,383190,"PreReq: Eng 21 or ESL 21 or placement in Eng 102; and Eng 22 or (ESL 22G and ESL 22W) or placement in Eng 100 or placement in Eng 100E
(3 lec hrs.)"
