course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
ACC,200,Accounting Internship,"Supervised on-the-job experience in the business community in an accounting-related capacity. Comprehensive report by students, meeting with faculty advisor, and performance evaluation from employer required. Pre: Instructor's Consent. (Attributes: GCC)",3,Accounting,141565,{}
ACC,201,Intro to Financial Accounting,"An introduction to accounting principles and practices used to record and communicate financial information. Analyze methods for valuing assets, liabilities, and equity of an organization. Pre: 15 or more credits at the college level.",3,Accounting,141565,{}
ACC,202,Intro to Managerial Accounting,"An introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, standard cost systems and reporting for internal decision making.  Pre:  ACC  201.",3,Accounting,141565,{}
ACC,350,Intermediate Acc I,The accounting process and the application of generally accepted accounting principles to assets and liabilities. Emphasis upon accounting theory.  Pre: ACC  202; successful completion of 45 college credits.,3,Accounting,141565,{}
ACC,351,Intermediate Acc II,"The application of generally accepted accounting principles to accounting for owner's equity, long-term investments and debt, funds flow, and financial statement analysis. Pre: C or better in ACC  350.",3,Accounting,141565,{}
ACC,352,Individual &amp; Business Taxation,"Principles and practices involved in the determination of federal income taxation and tax planning as it applies to individuals and businesses including the concept of gross income, exclusions, deductions, credits, property transactions and sole proprietorships. Pre: C or better in ACC  202, ACC  350, and ACC  351.",3,Accounting,141565,{}
ACC,353,Cost Accounting,"Cost accounting system output relevant to managerial decision making, planning and control. Topics include job order and process costing, direct and standard cost systems, with emphasis on application and analysis of cost. Pre: C or better in ACC  202, ACC  350, and ACC  351.",3,Accounting,141565,{}
ACC,354,Business Software,"Practical applications of general ledger/bookkeeping for small businesses.  Focus will be on basic Accounting Information Systems concepts, internal controls, accounting tasks, and comparative product analysis.  Pre: C or better in ACC  202; C or better or concurrent enrollment in ACC  350; successful completion of 45 college credits.",3,Accounting,141565,{}
ACC,355,Advanced Topics in Taxation,"Advanced topics in taxation at the discretion of the instructor.  Topics might include tax planning for individual and business owners, estate planning, gift taxes, or other current topics in taxation.  Pre: C or better ACC  352.",3,Accounting,141565,{}
ACC,358,Governmental Accounting,"Accounting principles as applied to nonprofit organizations, including government.  Emphasis on budgetary control and fund accounting.  Pre: C or better in ACC  350.",3,Accounting,141565,{}
ACC,450,Advanced Accounting,"The application of generally accepted accounting principles to specialized accounting entities:  partnerships, branches, affiliated companies, estates and trusts; and to special topics including consolidations.  Pre: ACC  351.",3,Accounting,141565,{}
ACC,454,Auditing,"Auditing concepts including standards, objectives, and ethics for external auditors.  Emphasis on reporting standards, internal control, evidence, and statistical sampling.  Pre: C or better in ACC  351.",3,Accounting,141565,{}
ACC,455,IT Audit,"Audits of accounting information systems, including enterprise systems.   Generally accepted IT audit standards, frameworks, tools and methods.  Includes the study and use of computer-assisted audit tools and techniques (CAATTS).  Pre: ACC  454.",3,Accounting,141565,{}
ACC,456,Advanced Auditing,This is a case-based auditing course that expands on topics introduced in Audit (ACC  454).  The primary focus of this course is Fraud Examination and Forensic Accounting. Students will examine cases involving current and classic frauds as well as learning the requirements for collecting evidence for court. Pre: ACC  454.,3,Accounting,141565,{}
AERS,151,Introduction to Aerodynamics,"The core principles of aircraft flight are examined. Students become familiar with airfoils, wings, different flight profiles and atmospheric effects on aircraft performance. Students will develop and analyze simulations of airfoils and wings.",3,Aeronautical Sciences,141565,{}
AERS,152,Introduction to UAS,"Survey of unmanned aircraft systems (UAS) emphasizing the commercial history including sections on hobby and military applications. Students learn operational principles, laws, and theory.",3,Aeronautical Sciences,141565,{}
AERS,201,Private Pilot I,"Introduces the airplane to entry-level student pilots as they prepare for flight training. Stresses airport systems, air traffic control procedures, aviation weather, air navigation, radio communication procedures, and Federal Aviation Regulations. Covers airplane ground and flight operations, take-off and landing, basic flight maneuvers, cross country methods and emergency procedures. Prepares students for the required FAA Private Pilot Airplane Knowledge Test and Private Pilot Airplane Practical Test. To be taught offsite at flight provider. Offered as CR/NC only. Pre: Approval of AERS Program.",5,Aeronautical Sciences,141565,{}
AERS,202,Private Pilot II,"Introduces cross-country navigation, emergency operations, takeoffs, landings and go-arounds in solo flight. Prepares students for the FAA Private Pilot Checkride. To be taught offsite at flight provider. Offered as CR/NC only. PRE: Approval of AERS Program.",5,Aeronautical Sciences,141565,{}
AERS,203,Cross Country Single Eng PIC,"Covers Air Traffic Control Clearances, GPS Flight Plan Function. Perform straight-and-level flight, constant rate climbs and descents, constant airspeed climbs and descents, standard rate turns. Compliance with departure, en route and arrival procedures. To be taught offsite at flight provider. Offered as CR/NC only. PRE: Approval of AERS Program.",5,Aeronautical Sciences,141565,{}
AERS,220,Multi-Engine Operations I,"This course focuses on the overview of Multi-Engine operations, students will continue their aeronautical knowledge training and perform simulation training specific to multi-engine aircraft. Pre: AERS  102",3,Aeronautical Sciences,141565,{}
AERS,221,Multi-Engine Operations II,"This course focuses on Commercial Pilot and Multi- Engine operations including calculating performance data, common errors, computing takeoff and landing data and computing weight and balance calculations. Pre: AERS  220",3,Aeronautical Sciences,141565,{}
AERS,250,Aviation Safety,"Develop an attitude and philosophy for accident prevention and an awareness of major flight security issues. Though the focus is on accident prevention, aircraft accident investigation is illustrated to include: human factors, mechanical considerations, and the nature of accident/error chains. Pre: AERS  102 or Instructor's Consent.",3,Aeronautical Sciences,141565,{}
AERS,251,Aviation Weather,"Discusses atmospheric science principles applicable to flight. Students gain a general understanding of meteorological theory and learn how to read applicable charts, graphics, and generated reports. Describes local meteorological phenomenon applicable to air travel. Pre: AERS  102 or Instructor's Consent",3,Aeronautical Sciences,141565,{}
AERS,260,Aircraft Systems &amp; Instruments,"This course is comprehensive study of aircraft systems and components at the technical level. Areas of study include aircraft electrical, hydraulic, fuel, propeller and auxiliary systems including theory of operation, calculations, and related Federal Aviation Regulations. Pre: AERS  251, PHYS  151 which may be taken concurrently.",3,Aeronautical Sciences,141565,{}
AERS,301,Aviation Laws and Regulations,"Survey of national and international laws and regulations regarding aircraft operation and ownership, contracts, liability and enforcement. Course activities include case reading, argument, and legal research. Pre: AERS  101",3,Aeronautical Sciences,141565,{}
AERS,310,Instrument Basic,"Flight course on basic Instrument flight maneuvers including Instrument turns, stalls, unusual attitude recoveries. Performs basic Instrument flight patterns. Uses VOR and GPS navigation. To be taught offsite at flight provider. Offered as CR/NC only. PRE: Approval of AERS Program.",3,Aeronautical Sciences,141565,{}
AERS,311,Instrument Advanced,"Advanced Instrument flight. Perform VOR and localized approaches, GPS approaches, circling approach, DME Arc approach and missed approach procedures. Lost comms procedures, engine failure in IMC and partial panel covered. To be taught offsite at flight provider. Offered as CR/NC only. PRE: Approval of AERS Program.",3,Aeronautical Sciences,141565,{}
AERS,340,Advanced Simulated Maneuvers,"Instruction on Steep turns, Chandelles, Lazy Eights and Eights on Pylons covered. Review of FAA Guidelines. Pre: AERS  221 or Instructor's Consent",1,Aeronautical Sciences,141565,{}
AERS,352,UAS Mission Plans &amp; Simulation,"Students gain experience in planning and execution of UAS missions. Computer simulation is leveraged to provide real-time mission experience. Students will practice the roles of pilot in command, payload operator, and mission commander. Pre: AERS  152",3,Aeronautical Sciences,141565,{}
