course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
ACC,201,INTRO TO FINANCIAL ACCOUNTING,"An introduction to accounting principles and practices used to record and communicate financial information. Analyze methods for valuing assets, liabilities, and equity of an organization.",3,ACCOUNTING,141839,Pre: Placement in ENG 100; Lecture Hours: 3 hrs. lect. per week
ACC,202,INTRO TO MANAGERIAL ACCOUNTING,"An introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, ratio analysis, standard cost systems, and reporting for internal decision making.",3,ACCOUNTING,141839,Pre: “C” or higher in ACC 201; Lecture Hours: 3 hrs. lect. per week
AJ,101,INTRODUCTION TO ADMINISTRATION OF JUSTICE,"This is a comprehensive course on crime and its causes including the history and philosophy of the administration of justice in America, the development of the criminal justice system, identification of the various subsystems, role expectations and their interrelationships. Theories of crime, punishment, adjudication and rehabilitation and training for professionalism in the entire system are also explored.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Placement in ENG 100; Lecture Hours: 3 hrs. lect. per week
AJ,103,CRIMINAL INVESTIGATION,"This course covers the basic principles of criminal investigation including: the human aspects of dealing with the public, case preparation, the collection and preservation of physical evidence, crime scene search, fingerprinting, casts, photographs and laboratory assistance.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,137,PATROL PROCEDURES,"This course will cover the duties and responsibilities of the patrol divisions of law enforcement agencies. The organization, operation and effectiveness of patrol will be examined and evaluated. The student will become familiar with the various methods departments use to accomplish the patrol mission such as team policing, beat plans and unique solutions like bicycles, all terrain vehicles and aircraft.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,138,CRIMINAL JUSTICE SYSTEM REPORTS AND COMMUNICATIONS,"This course will introduce the student to the methods of producing accurate, concise and detailed reports, the processing and the study of communications common to the administration of justice practitioner. This course will involve critical thinking and evaluative writing.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,139,COMPUTER APPLICATION IN CRIMINAL JUSTICE,"The student will become familiar with the modern technological advances and applications of the computer relative to investigation, record keeping, crime analysis, trends and patterns. The importance and significance of statistics is stressed and computer aided dispatch is examined.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,150,CORRECTIONAL PROCESS,"Provides an overview of the historical development of corrections and the philosophy of punishment. Current correctional institutions such as prisons, detention facilities, and community-based programs and their management and effectiveness will be examined.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,180,INTRODUCTION TO HOMELAND SECURITY,"This course provides a history of terrorism, focusing on the terrorists, their motivations and ideologies, and how they operate and execute terrorist attacks. The course examines the current responses to domestic and international terrorism along with analyzing future trends within the global war on terrorism. The course will discuss the theoretical perspectives of terrorism within criminology, criminal justice, sociology, and psychology. The course will present the use of the Internet, improvised explosives, and religious extremism found within modern terrorism.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,193V,COOPERATIVE EDUCATION,This course provides students with the opportunity to acquire on-the-job experience related to classroom instruction in Administration of Justice. Students may enroll 4 times for a maximum of 12 credits. Four (4) credits can be applied to AJ elective requirements.,1–4,ADMINISTRATION OF JUSTICE,141839,Pre: Placement in ENG 100
AJ,200,PRINCIPLES OF HAWAI‘I JUSTICE SYSTEM,"This course provides an examination of the basic Fourth, Fifth, and Sixth Amendment procedural principles that govern the interaction of the police and suspects in the investigation of crime. Beginning with the initial encounter, the course will examine the constitutional guidelines developed to regulate police behavior in the areas of investigatory stops, searches and seizures, arrests, interrogations, Miranda, and electronic surveillance. The effects of failing to follow these judicially mandated guidelines will also be explored.",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,208,CRIMINOLOGY,"The course will explore theories of crime causation, its measurement and impact, and overall societal reaction to crime and offenders. The focus is the exploration",3,ADMINISTRATION OF JUSTICE,141839,Pre: Prerequisite or Co-requisite: AJ 101; Lecture Hours: 3 hrs. lect. per week
AJ,210,JUVENILE JUSTICE,This course provides the administration of justice student with a basic and practical understanding of the legal principles involved in juvenile delinquency problems. Analysis of legislative and judicial responses to juvenile behavioral problems provide realistic and meaningful insights into the functioning of the juvenile justice processes.,3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,220,CONSTITUTIONAL LAW,"This course provides an overview of the development of the doctrines of federalism, separation of powers, and checks and balances theories as well as judicial review. Specific topics include sources of federal legislative power, commerce, taxing, spending, presidential and military powers, power of states to regulate and tax interstate commerce, preemption, the due process clause of the Fourteenth Amendment, equal protection, and First Amendment rights. Selected Supreme Court cases interpreting the U.S. Constitution are also examined.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,221,CRIMINAL LAW,"This course examines society’s control of unwanted behavior through law. The particular focus is on the general principles of substantive criminal law. Topics include principles of criminal liability - actus reus, mens rea, causation, uncompleted crimes, and criminal defenses. General elements of crimes are covered including crimes against persons, habitation, property, and public order and morals. Applicable provisions of the Hawai‘i Penal Code will also be discussed.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,224,RULES OF EVIDENCE,"This course is a thorough study of evidence rules with specific emphasis on the application of these rules in preparing and presenting evidence. This includes a discussion of the history and approach to the study of evidence, proof by evidence and substitutes. General admissibility tests, evidence by witness testimony, documents and real evidence are examined.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,230,PRINCIPLES OF POLICE SUPERVISION,"This course will cover such essentials as the function of the supervisor in organization and management, elements of leadership, the training function, instructional process, personnel evaluation systems, and personnel complaint investigation and techniques.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,233,POLICE ORGANIZATION AND MANAGEMENT,"The principles of organization and administration in the law enforcement community are examined along with such topics as organizational structures, managerial philosophies, personnel issues and leadership.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,234,POLICE AND COMMUNITY RELATIONS,"This course acquaints the student with the role of law enforcement in government and the critical importance of effective community relations. The dynamics of race relations and other current social problems directly related to the law enforcement community are explored. This course focuses on attitudes of the public and the law enforcement officer, why these attitudes exist and what can be done to improve the situation.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,235,ETHICS IN THE CRIMINAL JUSTICE SYSTEM,"An identification and analysis of the diverse ethical issues encountered in the Criminal Justice System. Traditional ethical theories will be examined and applied to such topics as discretion, plea bargaining, bail, wiretapping, privacy, punishment, and prisoners’ rights.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,280,CURRENT ISSUES IN THE ADMINISTRATION OF JUSTICE,"This course is an exploration of issues related to the study of the administration of justice. Students will define, select, research, and examine these issues, then discuss the various viewpoints thereby conducting a thorough probe of important and controversial issues facing the justice professions.",3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week
AJ,283,SUBSTANCE ABUSE IN SOCIETY,This course covers the historical development of drug enforcement in relation to changing social mores. Emphasis is placed on the detection and identification of illegal drugs and their suppression through enforcement and investigation. Tactics of enforcement will be presented along with a study of pertinent statutory and case law. The effects of rehabilitation and treatment will be explored.,3,Administration of Justice,141839,Prerequisite or Co-requisite: AJ 101; 3 hrs. lect. per week; May be taken on a CR/N basis
