course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
ACC,124,Principles of Accounting I,"This course introduces basic accounting principles and practices for service and/or merchandising types of businesses. Areas include accounting as an information system, the accounting cycle, financial statements, internal control, current and/or long-term assets, current liabilities, and payroll. Special emphasis will be placed upon the practical application of accounting principles.",3,Accounting (ACC),141574,"Class Hours: 3 lecture; Semester Offered: Fall, Spring"
ACC,125,Principles of Accounting II,"This course continues the study of financial accounting procedures. Areas include: long-term assets, long-term liabilities, accounting for corporations and/or partnerships. The statement of cash flows and financial statement analysis may be covered.",3,Accounting (ACC),141574,"Class Hours: 3 lecture; Semester Offered: Fall, Spring; Prerequisites: “C” or higher in ACC 124."
ACC,126,Principles of Accounting III,"This course introduces basic accounting principles and practices for manufacturing businesses and introduces basic principles and practices of managerial accounting. Areas include financial statement analysis, cost accounting, budgeting, standard cost systems, break-even analysis, responsibility accounting, and capital budgeting.",3,Accounting (ACC),141574,Class Hours: 3 lecture; Semester Offered: Fall; Prerequisites: “C” or higher in ACC 125.
ACC,132,Payroll and Hawai‘i General Excise Tax,"This course introduces principles, manual and computerized procedures, and terminology for business applications of payroll accounting. Areas include preparation of federal and Hawai‘i state forms for payroll taxes and the Hawai‘i General Excise and Use Tax.",3,Accounting (ACC),141574,"Class Hours: 3 lecture; Semester Offered: Spring; Prerequisites: ""C"" or higher or concurrent enrollment in ACC 124 or ACC 201."
ACC,134,Individual Income Tax Preparation,This course introduces the preparation of federal and state of Hawai‘i individual income tax returns with an emphasis on tax law and regulations and their application to the tax returns. This course is intended for an individual preparing basic tax returns under the supervision of an accounting professional.,3,Accounting (ACC),141574,Class Hours: 3 lecture; Semester Offered: Fall; Prerequisites: “C” or higher or concurrent enrollment in either ACC 124 or ACC 201.
ACC,137,Business Income Tax Preparation,This course introduces Federal and Hawai‘i tax laws and regulations and basic return preparation for business entities. This course is intended for an individual preparing basic tax returns under the supervision of an accounting professional.,3,Accounting (ACC),141574,Class Hours: 3 lecture; Semester Offered: Spring; Prerequisites: “C” or higher in ACC 134.
ACC,193,Cooperative Education,Cooperative Education provides practical career-related work experience through a program used nationally in colleges and universities to apply classroom knowledge and to develop job competencies. Full-time or part-time work (with or without compensation) in private and public sectors is utilized for this program. The number of credits earned depends upon the number of hours spent at the job station during the semester.,1,Accounting (ACC),141574,"Class Hours: 1 hour per week with coordinator and 75 hours work experience for each credit.; Semester Offered: Spring, Summer; Prerequisites: Approval of instructor.; Comments: This course is intended for Accounting majors. Additional prerequisites may be required by different campuses."
ACC,201,Introduction to Financial Accounting,"This course is an introduction to accounting principles and practices used to record and communicate financial information and to analyze methods for valuating assets, liabilities, and equity of an organization.",3,Accounting (ACC),141574,Class Hours: 3 lecture; Semester Offered: Fall; Prerequisites: Qualified for ENG 100.
ACC,202,Introduction to Managerial Accounting,"This course is an introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, ratio analysis, standard cost systems, and reporting for internal decision making. Also included are principles and procedures relating to cash flow analysis and corporations.",3,Accounting (ACC),141574,"Class Hours: 3 lecture; Semester Offered: Spring; Prerequisites: ""C"" or higher in ACC 201 or ""C"" or higher in both ACC 124 and ACC 125."
ACC,252,Using Quickbooks in Accounting,"This course provides a ""hands-on"" approach to computerized accounting using QuickBooks. Students will apply previously acquired accounting skills and knowledge in a computerized environment to set up and maintain accounting records. An emphasis will be placed on the application of QuickBooks to the accounting cycle.",3,Accounting (ACC),141574,"Class Hours: 3 lecture; Semester Offered: Spring; Prerequisites: ""C"" or higher in either ACC 124 or ACC 201 or approval of instructor."
ACC,255,Using Excel® in Accounting,"This course provides hands-on training in the use of spreadsheets on computers to solve accounting problems. It applies previously acquired accounting skills and knowledge and emphasizes financial and managerial accounting. Additionally, students will develop the ability to use a numeric keypad to perform business computations.",3,Accounting (ACC),141574,"Class Hours: 3 lecture; Semester Offered: Fall, Spring; Prerequisites: ""C"" or higher or concurrent enrollment in either ACC 124 or ACC 201; or approval of instructor."
AEC,99,Special Studies,See explanation under the heading of Special Studies.,3,"Architectural, Engineering, and CAD Technologies (AEC)",141574,Class Hours: 3 lecture; Semester Offered: Fall; Prerequisites: “C” or higher or concurrent enrollment in AEC 101.
AEC,101,Construction Graphics and Conventions,"This course covers an introduction to the principles of graphic communication and conventions as it applies to drawing and reading construction plans using hand sketching, various computer-aided design, and construction administration software. Techniques for measuring items of construction work from plans and specifications, layout, terminology, graphic standards and drafting fundamentals are studied. There is an emphasis on how to locate information and cross reference with details, schedules, and specifications for clarification. This course also introduces students to some computer architectural 3D modeling using SketchUp or similar software.",3,"Architectural, Engineering, and CAD Technologies (AEC)",141574,Class Hours: 3 lecture; Semester Offered: Fall
AEC,110,Basic AutoCAD,"This course introduces the foundations of AutoCAD. Included are the basic commands and operations from 2D drawing and editing tools to the creation of solid models and renderings. Students study 2D drawing, text, dimensions, blocks, hatching, reference files, sharing data, 3D drawing, and plotting capabilities. Students are provided additional concepts and tools that demonstrate technical knowledge essential to the architectural, engineering, and construction technology related fields.",4,"Architectural, Engineering, and CAD Technologies (AEC)",141574,Class Hours: 4 lecture; Semester Offered: Spring; Prerequisites: “C” or higher or concurrent enrollment in AEC 101.
AEC,161,Building Information Modeling Software,"This course provides students with the opportunity to work on a medium-size modeling/drafting project using the latest architectural software. Emphasis is on the three-dimensional drawing. Architectural models, rendering, and animation are important elements of the course. Students create photo realistic computer images of buildings, components, and the project site.",3,"Architectural, Engineering, and CAD Technologies (AEC)",141574,"Class Hours: 3 lecture; Semester Offered: Fall; Prerequisites: ""C"" or higher or concurrent enrollment in AEC 101."
AEC,164,Residential Planning and Design,"This course addresses residential design fundamentals and design development. The application of AEC 101 and AEC 110 techniques contribute to preliminary board designs of increasing complexity. This course includes architectural design concepts, study models and principles, application of architectural software, rendering, and group and juried presentations.",3,"Architectural, Engineering, and CAD Technologies (AEC)",141574,"Class Hours: 3 lecture; Semester Offered: Spring; Prerequisites: ""C"" or higher in AEC 101. ""C"" or higher or concurrent enrollment in AEC 110."
