course_desc,course_number,course_prefix,course_title,dept_name,inst_ipeds,metadata,num_units
"The course focuses on the continuum of substance use. It analyzes historical, societal, and cultural perceptions, and examines the impact of substance use and behavioral disorders on the individual, the family, and the community. We will review current trends, legal responses, and the effectiveness of various approaches utilized in the field.",268,HSER,Survey of Substance Use Disorders,HSER,141574,Prerequisites: Placement in ENG 100ORequivalentORinstructor approval.; Recommended Course Preparation: HSER100- Exploration of Self in Society; Contact Hours: 3 lecture,3
Introduction to communication strategies and outcomes through participation in interpersonal communication activities.,145,COM,Interpersonal Communication,COM,141574,Prerequisites: ENG 100 with a grade of C or betterORequivalent.; Contact Hours: 3 lecture,3
"This course is the second in a two-course sequence (MATH 111 and MATH 112) designed to give elementary education students a depth of understanding necessary to teach mathematics at that level. The emphasis will be on understanding, representing, and communicating mathematical ideas and procedures; solving problems; and reasoning mathematically. MATH 112 further develops operations, and covers geometry, introductory probability and statistics, and additional companion topics. Due to potential variation in topic sequencing, it is recommended that students needing both MATH 111 and MATH 112 take the courses sequentially and from the same institution.",112,MATH,Math for Elementary Teachers II,Mathematics,141574,"Prerequisites: MATH 111 with a grade of C or betterorconcurrently enrolled in MATH 111, only when the concurrent MATH 111 section and the MATH 112 section are offered as sequential part-of-term courses.; Contact Hours: 3 lecture",3
"This course focuses on the structure and function of the human body which includes a study of its gross anatomy, microanatomy, physiology, pathology, and pathophysiology.",130,BIOL,Anatomy and Physiology,Biology,141574,Prerequisites: Placement in ENG 100ORequivalentORinstructor approval; Contact Hours: 4 lecture,4
"Students build on skills learned in HIT 108, Introduction to Diagnostic Coding, and HIT 109, Introduction to Procedure Coding. Students apply diagnostic and procedure coding to advanced scenarios and complex patient records. Computerized coding systems and coding conventions are covered. Students also analyze the impact of coding complications on healthcare reimbursements.

This course may be taken concurrently with HIT 208, Advanced Coding I.",209,HIT,Advanced Coding II,HIT,141574,"Prerequisites: HIT 108 with a grade of C or betterORHIT 109 with a grade of C or betterORequivalentORinstructor approval.; Recommended Course Preparation: ENG22- Introduction to CompositionENG24- Reading, Reasoning, & Writing; Contact Hours: 3 lecture",3
"In a fast paced restaurant environment, students plan, organize, and prepare menu items typically served in an upscale dining establishment specializing in European, Asian, and American regional cuisine with an emphasis on contemporary menu trends, cross-cultural influences, flavor combinations, and plate presentation. Students will develop an awareness of and utilize locally grown and produced ingredients.",223,CULN,Contemporary Cuisines,CULN,141574,Prerequisites: CULN 125 with a grade of C or betterANDCULN 150 with a grade of C or betterORCULN 160 with a grade of C or betterorconcurrently enrolled in CULN 160ORinstructor approval.; Contact Hours: 12 other,5
This course is an intensive studio experience of painting from the model. Contemporary methods of application and theory will be explored while learning the history of figure painting.,224,ART,Painting from Life,Art,141574,Prerequisites: ART 113 with a grade of C or betterANDART 214 with a grade of C or better.; Recommended Course Preparation: ART123- Introduction to PaintingART213- Intermediate Drawing; Contact Hours: 6 other,3
"This course focuses on the fundamental concepts, skills and techniques of basic garde manger, breakfast, and short-order cookery skills. Content includes basic salads and salad dressings; the handling, storage and preparation of fruits and vegetables, including decorative garnishes; cold food presentation using plates, platters and trays; basic egg and breakfast items, including quick breads; and short order line cookery.",125,CULN,Fundamentals of Cookery II,CULN,141574,Prerequisites: CULN 120 with a grade of C or better or concurrently enrolled in CULN 120ANDCULN 112 with a grade of C or better or concurrently enrolled in CULN 112.; Contact Hours: 12 other,5
"This course is the advanced work in improvisation and character development. Vocal and physical training is emphasized, particularly in scene work. Actors are expected to work together to present scenes to the class. This course is repeatable once for credit.",222,THEA,Acting II,THEA,141574,Prerequisites: THEA 221 with a grade of C.; Contact Hours: 3 lecture,3
"Emotional, mental, physical, and social development from infancy to adulthood; interests and abilities at different age levels.",240,PSY,Developmental Psychology,Psychology,141574,Prerequisites: PSY 100 with a grade of C or betterORinstructor approval.; Contact Hours: 3 lecture,3
This course is a continuation of HAW 201 focusing on further development and refinement of communication skills. Students will become more proficient in Hawaiian while gaining knowledge of more complex structures.,202,HAW,Intermediate Hawaiian II,HAW,141574,Prerequisites: HAW 201 with a grade of C or betterORequivalentORinstructor approval.; Contact Hours: 4 lecture,4
"This course is an introduction to the discussion of politics as an activity and of political problems, systems, ideologies, and processes.",110,POLS,Introduction to Political Science,POLS,141574,"Prerequisites: None.; Recommended Course Preparation: ENG22- Introduction to CompositionENG24- Reading, Reasoning, & Writing; Contact Hours: 3 lecture",3
"This course is an introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, ratio analysis, standard cost systems, and reporting for internal decision making.  The course also covers capital budgeting and incremental analysis.  Requirement for the Accounting AS program; elective for the Liberal Arts AA program.",202,ACC,Introduction to Managerial Accounting,Accounting,141574,Prerequisites: ACC 201 with a grade of C or betterORACC 124 with a grade of C or betterandACC 125 with a grade of C or betterOREquivalentORInstructor approval.; Contact Hours: 3 lecture,3
"This is a course in the development of aural perception through the techniques of music dictation, sight-singing, and rhythm exercises.",283,MUS,Aural Training 1,MUS,141574,"Prerequisites: MUS 108 with a grade of C or betterANDMUS 281 with a grade of C or better or concurrently enrolled in MUS 281ORinstructor approval.; Contact Hours: 2 lecture, 1 lab",1
"This course is the study of linear circuits, including circuit elements and concepts, Ohm's and Kirchhoff's laws, simple resistive circuits, operational amplifiers, capacitance, inductance, first-order and second-order transient circuits, and sinusoidal steady-state circuits. (Formerly EE 211)",211,ECE,Basic Circuit Analysis I,ECE,141574,"Prerequisites: PHYS 272 with a grade of C or betterorconcurrently enrolled in PHYS 272ANDMATH 243 with a grade of C or betterorconcurrently enrolled in MATH 243.; Contact Hours: 3 lecture, 3 lab",4
"HAW 102 continues to develop the ability to communicate in Hawaiian through the study of basic structures with an emphasis on speaking, writing, reading and listening comprehension, and cultural understanding. Skills will further be developed through directed drills and practice in the classroom.",102,HAW,Elementary Hawaiian II,HAW,141574,Prerequisites: HAW 101 with a grade of C or betterORequivalentORinstructor approval.; Contact Hours: 4 lecture,4
"This course is an integrated cell and molecular biology course for life science majors. This course is designed to give the student a fundamental understanding of the structure and biochemistry of eukaryotic and prokaryotic cells, recombinant DNA technology, and bioinformatics.",275,BIOL,Cell and Molecular Biology,Biology,141574,"Prerequisites: BIOL 171 with a grade of C or betterANDBIOL 171L with a grade of C or betterANDCHEM 272 with a grade of C or betterANDBIOL 275Lwith a grade of C or better or concurrently enrolled in BIOL 275LORinstructor approval.; Contact Hours: 3 lecture, 0 lab, 0 other",3
"Students will learn management principles used in healthcare organizations (specifically HIM departments and functions), including supervision, budgeting, and policies and procedures. Emphasis is also on communication within the organization and problem solving.",225,HIT,Health Information Management,HIT,141574,"Prerequisites: HIT 101 with a grade of C or betterANDHIT 102 with a grade of C or betterORequivalentORinstructor approval.; Recommended Course Preparation: ENG22- Introduction to CompositionENG24- Reading, Reasoning, & Writing; Contact Hours: 3 lecture",3
"This course will cover shop safety, tools, and all components found in the modern internal combustion engine. The course is designed to provide students with an understanding of the fundamental operation and construction of internal combustion engines. Instruction will include theory and laboratory (shop) activities in which students will learn how to inspect, service, maintain, diagnose, and repair automobile engine malfunctions. This course includes live work. (Formerly AMT 30)",129,AMT,Engine Repair,AMT,141574,Prerequisites: AMT 100 with a grade of C or betterANDAMT 141 with a grade of C or betterANDAMT 152 with a grade of C or betterANDCompleted ENG 100 or concurrently enrolled in ENG 100 or equivalent or higherANDCompleted MATH 100 or concurrently enrolled in MATH 100ORCompleted QM 107C or concurrently enrolled in QM 107C or equivalent or higher.; Contact Hours: 14 other,7
This course is an introduction to the theory and practice of painting. Instruction on the use of painting materials and techniques. This course will cover historical art movements and show parallels in contemporary art practices as well. Designed to serve art majors and non-art majors.,123,ART,Introduction to Painting,Art,141574,Prerequisites: ART 113 with a grade of C or betterORinstructor approval.; Recommended Course Preparation: ART101- Introduction to the Visual Arts; Contact Hours: 6 other,3
"This course introduces students to major concepts and principles in the field of Educational Psychology that form the foundations of learning and instruction. Students will examine various development domains and learning theories and translate this knowledge into effective teaching practices for motivating learners with diverse needs. While educational psychology traditionally focuses on the teaching profession, this course is open to all students interested in developing a deeper understanding of how humans learn. This coursework includes preparation to apply knowledge and skills in important key concepts and methods used in special education. (Formerly ED 298)",289,ED,Educational Psychology,ED,141574,Prerequisites: ENG 22 with a grade of CRORENG 24 with a grade of CRORplacement in ENG 100ORequivalent.; Contact Hours: 3 lecture,3
"This course is a project-based introduction to songwriting, focusing on basic music theory concepts in music creation (rhythm, meter, pitch, scales, melody, and harmony).",208,MUS,Introduction to Song Writing,MUS,141574,Prerequisites: MUS 108 with a grade of C or betterORinstructor approval.; Recommended Course Preparation: MUS121C-  Piano 1; Contact Hours: 3 lecture,3
"Covers basic concepts of reading, notating and aurally recognizing music in Western culture.  Notation of rhythms, pitch, diatonic scales, key and time signatures, the recognition of intervals and use of chords shall be presented.  Emphasis will be on music reading, notation, and aural dictation.",108,MUS,Music Fundamentals,MUS,141574,Prerequisites: None.; Contact Hours: 3 lecture,3
"This course introduces students to modern Hawaiian canoe voyaging through an examination of the science and narratives of ancient voyaging, the history of the modern revival of voyaging, and the Hawaiian navigator's toolkit.",110,HWST,Huakaʻi Waʻa: Introduction to Hawaiian Voyaging,HWST,141574,Prerequisites: Placement in ENG 100ORInstructor approval.; Contact Hours: 3 lecture,3
"This course is an introduction to natural resource sustainability in agriculture. Basic principles of soil science, plant culture, and pest management are explained, and organic farming techniques are practiced. The societal and environmental reasons for engaging in organic agriculture are explored. The goal of this course is to increase understanding of organic farming and to introduce sustainable agriculture practices that can be applied in Hawaiʻi.",112,AG,Introduction to Organic Agriculture,AG,141574,"Prerequisites: Placement in ENG 100.; Contact Hours: 3 lecture, 3 lab",4
"This course introduces students to entrepreneurship in the media industries. Course content includes: principles of entrepreneurship, media economics, and evolving business models for the media industries. Students will identify, develop, and pitch ideas for media businesses, while learning to fund, operate, and manage media companies. State-specific business and legal concerns are covered.",251,DMED,Media Entrepreneurship,DMED,141574,Prerequisites: DMED 240 with a grade of C or better or concurrently enrolled in DMED 240ORDMED 242 with a grade of C or better or concurrently enrolled in DMED 242ORDMED 243 with a grade of C or better or concurrently enrolled in DMED 243ORTVPR 294 with a grade of C or better or concurrently enrolled in TVPR 294ORART 207D with a grade of C or better or concurrently enrolled in ART 207DORART 277D with a grade of C or better or concurrently enrolled in ART 277DORinstructor approval.; Contact Hours: 3 lecture,3
"Introduces students to the elements of landscape design, planning, and plan implementation.
The areas covered include design principles, functional aesthetics, reading and development of landscape plans, and cost estimates. (Formerly PBT 250)",260,AG,Tropical Landscape,AG,141574,"Prerequisites: AG 112 with a grade of C or betterORAG 110 with a grade of C or betterORBOT 130 with a grade of C or betterORAG 200 with a grade of C or betterORinstructor approval.; Contact Hours: 3 lecture, 3 lab",4
"Foundations of Inclusion in Teaching explores potential teachers' perspectives on bias, growth mindset, and professionalism in an inclusive educational setting. We examine both historical and contemporary educational contexts as they apply to laws, policies, and practices that support special student populations. The curriculum is focused on the demonstration and application of supportive, diverse, and developmentally-appropriate instructional goals, experiences, and assessments. Special populations in need of an inclusive setting include all students, but this course is specifically focused on Native Hawaiians, students from poverty and low-income communities, English Language Learners, and all students with Individualized Education Programs and special needs. This coursework includes preparation to apply knowledge and skills in important key concepts and methods used in special education.",284,ED,Foundations of Inclusion in Teaching,ED,141574,Prerequisites: Placement in ENG 100ORequivalentORinstructor approval.; Contact Hours: 3 lecture,3
"Continuation of JPN 101. Continued emphasis is placed on listening and speaking skills, while an increased concentration is placed on reading and writing skills with additional introduction of kanji.",102,JPN,Elementary Japanese II,JPN,141574,Prerequisites: JPN 101 with a grade of C or betterORinstructor approval.; Contact Hours: 4 lecture,4
A general introductory survey of Hawaiian religious teaching and practice from ancient times to the present.,205,REL,Understanding Hawaiian Religion,REL,141574,Prerequisites: ENG 22 with a grade of CRORENG 24 with a grade of CRORequivalentORinstructor approval.; Contact Hours: 3 lecture,3
"This course studies the factors involved in planning effective menus for a variety of food service operations. The course includes the design, format, selection, costing, pricing, and a balance of menu items based on an understanding of the needs of various target markets.",115,CULN,Menu Merchandising,CULN,141574,Prerequisites: None.; Contact Hours: 2 lecture,2
"Students will hone basic language skills acquired in FR 101-102 through reading, conversation, oral presentations, writing, listening, watching movie excerpts, and making their own short videos. Through these activities, students will gradually develop confidence and fluency in written and oral expression.  Cultural presentations will enhance knowledge and appreciation of the French language and the Francophone world.  Special attention will be given to French-speaking Oceania, in particular Tahiti and New Caledonia.",201,FR,Intermediate French I,FR,141574,Prerequisites: FR 102 with a grade of C or betterORequivalentORinstructor approval.; Contact Hours: 3 lecture,3
"This course covers the major individuals and political, economic, social, and cultural events of the world during the twentieth century. Emphasis will be placed on global relationships, conflicts, and changing patterns of interaction among cultures and peoples in an era of near-constant change.",260,HIST,Twentieth Century World History,History,141574,Prerequisites: Placement in ENG 100ORconcurrently enrolled in ENG 100ORInstructor approval.; Recommended Course Preparation: HIST152- World History since 1500; Contact Hours: 3 lecture,3
"This course focuses on advanced 2D animation techniques for film, television, and multimedia. Students will further enhance motion concepts in animation and develop advanced compositing, sound, and editing skills.",240,DMED,Animation & Special Effects,DMED,141574,Prerequisites: DMED 140 with a grade of C or betterORinstructor approval.; Recommended Course Preparation: DMED130- Pre-Production for Digital Video; Contact Hours: 3 lecture,3
"This course presents the theory and practical application of the operation, problem diagnosis, maintenance, and repair of modern suspension and steering systems to include: front wheel drive steering and suspension systems; rear wheel drive steering and suspension systems; four wheel drive steering and suspension systems; and all-wheel drive steering and suspension systems. Wheel alignment and tire servicing for all systems are also covered. (Formerly AMT 55)",154,AMT,Suspension and Steering Systems,AMT,141574,Prerequisites: AMT 129 with a grade of C or better or concurrently enrolledANDAMT 164 with a grade of C or better or concurrently enrolledANDCompleted or concurrently enrolled in ENG 100 or equivalent or higherANDCompleted or concurrently enrolled in MATH 100ORCompleted or concurrently enrolled in QM 107C or equivalent or higher.; Contact Hours: 8 other,4
"This course provides ""hands-on"" approach to computerized accounting using QuickBooks®. Applies previously acquired accounting skills and knowledge in a computerized environment to set up and maintain accounting records. Emphasis will be placed on the application of QuickBooks® to the accounting cycle.",252,ACC,Using QuickBooks® in Accounting,Accounting,141574,Prerequisites: ACC 124 with a grade of C or better or ACC 201 with a grade of C or betterANDBUS 101 with a grade of C or better or concurrently enrolled in BUS 101 or ICS 100 with a grade of C or better or concurrently enrolled in ICS 100 or ICS 101 with a grade of C or better or concurrently enrolled in ICS 101OREquivalentORInstructor approval.; Contact Hours: 3 lecture,3
This course is a continuation of JPN 102.  Emphasis on listening and speaking skills continues while development of reading and writing skills are increased.  Additional kanji characters are introduced in the course.  Students are expected to use more complex and compound sentences.,201,JPN,Intermediate Japanese I,JPN,141574,Prerequisites: JPN 102 with a grade of C or betterORinstructor approval.; Contact Hours: 4 lecture,4
"This course is a survey of Oceanography, including the structure, formation, and features of ocean basins; seawater properties and distributions; currents; waves; tides; characteristics of marine organisms; marine ecological principles; man and the sea. Field trip required.",201,OCN,Science of the Sea,OCN,141574,Prerequisites: None.; Recommended Course Preparation: MATH82X- Expanded Algebraic Foundations; Contact Hours: 3 lecture,3
"This course provides an overview of best practices for leveraging video sharing platforms, social networks, websites, search engines, and other online tools. Learn to integrate and utilize these tools to distribute, market, and monetize media content online.",261,DMED,Digital Media Marketing and Online Distribution,DMED,141574,Prerequisites: Placement in ENG 100ORinstructor approval.; Recommended Course Preparation: DMED131- Introduction to Digital Video; Contact Hours: 3 lecture,3
"This course examines the Hawaiian ahupua'a as an integral component of the Hawaiian resource management system, and its relevance today. Using both primary and secondary written and oral sources, students will study Hawaiian perspectives on resource management and their relationship with land. This course emphasizes land-based learning.",207,HWST,Hawaiian Perspectives in Ahupua'a Resource Management,HWST,141574,Prerequisites: HWST 107 with a grade of C or betterORinstructor approval.; Contact Hours: 3 lecture,3
"An introductory survey of computers and their role in the information world emphasizing computing terminology, hardware, and software. Opportunities for “hands on” experience using applications software may include spreadsheets, word processing, presentations, and communications.",100,ICS,Computing Literacy and Applications,ICS,141574,Prerequisites: None.; Contact Hours: 3 lecture,3
"This course examines the physical, biotic, cultural, and socio-economic elements of Hawaiʻi. These include the study of volcanism, climatic diversity, water features, vegetation, population and land use patterns, and cultural expression, with a focus on understanding the interrelation and inseparability of physical processes and human activities. (Formerly GEOG 122)",122,GEO,Geography of Hawaiʻi,GEO,141574,Prerequisites: None.; Contact Hours: 3 lecture,3
"MATH 100 includes a variety of selected mathematical topics designed to acquaint students with examples of mathematical and quantitative reasoning that demonstrate the beauty, power, clarity, and precision of mathematics.  The core course content includes deductive, numeric, symbolic, and graphical and statistical algorithms and reasoning.  MATH 100 is not intended as, and does not qualify as, a prerequisite for advanced mathematics courses.",100,MATH,Survey of Mathematics,Mathematics,141574,Prerequisites: MATH 82X with a grade of CRORconcurrently enrolled in MATH 78BORplacement in MATH 100.; Contact Hours: 3 lecture,3
"A global and historical survey focusing on human societies and cross-cultural interactions since 1500 CE. Emphasis is given to broad relationships and trends and to the political, religious, economic and social changes most relevant to contemporary society.",152,HIST,World History since 1500,History,141574,Prerequisites: None.; Contact Hours: 3 lecture,3
"Introduces production methods for selected crops, including propagation planting, fertilization, irrigation, pest control, harvesting, and marketing. Evaluates conventional and alternative methods of production and analyzes effects of these practices. Examines economic and social impacts. (Formerly PBT 251)",251,AG,Sustainable Crop Production,AG,141574,"Prerequisites: AG 110 with a grade of C or betterANDAG 110L with a grade of C or betterORAG 112 with a grade of C or betterORAG 200 with a grade of C or betterANDAG 200L with a grade of C or betterORinstructor approval.; Recommended Course Preparation: AG110- Hawaiʻi Horticulture and NutritionAG110L- Hawaiʻi Horticulture and Nutrition LabAG112- Introduction to Organic Agriculture; Contact Hours: 2 lecture, 6 lab",4
"This course teaches the utilization of audio within the context of digital media production. Elements of sound design, production, and implementation will be covered along with legal and copyright issues. A survey of current technology and techniques used in media production will be included within the course.",133,DMED,Sound Design for Digital Media,DMED,141574,Prerequisites: Placement in ENG 100ORequivalentORinstructor approval.; Recommended Course Preparation: DMED130- Pre-Production for Digital Video; Contact Hours: 3 lecture,3
"This course includes sculptural and vessel concepts in clay using hand-building techniques, emphasizing the development of constructive skills and an understanding of form, surface, and firing possibilities. May be repeated for additional credit.",243,ART,"Intermediate Ceramics, Hand Building",Art,141574,Prerequisites: ART 105B with a grade of C or betterORinstructor approval.; Contact Hours: 6 other,3
"This course is an introduction to mechanical drive systems that are typical to automated manufacturing and process systems. The course provides students with an understanding of mechanical energy transmission concepts. Students will apply these concepts to design, configure, and conduct performance analysis on mechanical transmission systems. (Formerly IIT 131)",131,MECH,Mechanical Drive Systems,MECH,141574,Prerequisites: None.; Contact Hours: 3 lecture,3
"This is an introductory course that provides a broad yet detailed exposure to the American educational system, an introduction to the teaching profession and a knowledge base of contemporary issues in education. Students will examine the structure, culture, and curriculum of schools and the broad forces (historical, philosophical, legal and financial) that shape the foundation of our educational system.",290,ED,Foundations of Education,ED,141574,Prerequisites: ENG 100 with a grade of C or betterORinstructor approval.; Contact Hours: 3 lecture,3
"This course is the first course in a two-semester sequence in introductory physics intended for science majors and is offered during the fall semester only.  Emphasis is split between concepts and mathematical applications. Algebra, trigonometry, and geometry are used; calculus is not. The course includes mechanics, kinetic theory, and thermodynamics. Required: scientific calculator.",151,PHYS,College Physics I,Physics,141574,Prerequisites: MATH 140 with a grade of C or betterORMATH 140X with a grade of C or betterORinstructor approval.; Recommended Course Preparation: PHYS100- Survey of Physics; Contact Hours: 3 lecture,3
"This course uses of tools to analyze, design, develop, test, document, and implement a system.",270,ICS,Systems Analysis,ICS,141574,Prerequisites: ICS 111 with a grade of C or betterANDICS 129 with a grade of C or betterORInstructor approval.; Contact Hours: 3 lecture,3
