course_desc,course_number,course_prefix,course_title,dept_name,inst_ipeds,metadata,num_units
"Internship in professional cinematic, television, animation and/or digital media production company under professional and faculty supervision.",495,CINE,Cinematic Arts Internship,Cinema,141574,"Prerequisites: CINE 350 and consent; and one of the following: CINE 310 , CINE 315 , CINE 316 , CINE 317 , CINE 321 , CINE 322 , CINE 323 , or CINE 330 .; Repeatable: Up to 6 credits.; Grade Option: CR/NC only.; Major Restrictions: SCA majors only.",V
"Production of a major cinematic/digital narrative project. Working in groups, each student takes on creative and technical role and responsibilities of a principal crew position. Emphasis on artistic form in narrative development; timely execution from pre- to post-production.",410,CINE,Advanced Cinematic Production,Cinema,141574,"Prerequisites: CINE 310 , CINE 350 , and one of CINE 312 , CINE 330 , CINE 370 , CINE 372 , or CINE 374 .; Repeatable: Repeatable one time.; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
Students will learn to develop virtual reality and augmented reality applications with turnkey tools as well as through programming. Prior programming experience is not required for this course.,419,CINE,Virtual and Augmented Reality Programming,Cinema,141574,Prerequisites: any CINE 215 or ICS 110 (Alpha) or ICS 111 .; Cross-Listed: ICS 486,3
"Auditing and Attestation (AUD) section covers the entire auditing process, including auditing procedures, generally accepted auditing standards, standards related to attest engagements, and the AICPA Code of Professional Conduct.",602,ACC,CPA Review-Audit and Attestation,Accounting,141574,Prerequisites: ACC 418 (or concurrent).; Grade Option: CR/NC only.,1
Introduction of the screen-director to the craft of acting for the camera. Students will develop communication skills and learn practical techniques to elicit spontaneous and relaxed performances with actors from the Theatre program.,370,CINE,Directing the Actor on Screen,Cinema,141574,"Prerequisites: CINE 215 , CINE 216 , or CINE 310 ; and CINE 350 (or concurrent).; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
Culmination of beginning and advanced screenwriting classes. Students will write a treatment and first act for a feature-length project or pilot script and series bible for a television project.,475,CINE,Screenwriting Capstone,Cinema,141574,Prerequisites: CINE 350 and CINE 450 .; Repeatable: Repeatable one time.; Major Restrictions: SCA majors only.,3
Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II.,210,ACC,Introduction to Accounting II,Accounting,141574,Prerequisites: ACC 200 (with a C- or better).,3
"Laboratory consists of preparing second-year AFROTC cadets with the skills needed to successfully complete AFROTC Field Training. Students will learn basic military skills, Field Training skills, and participate in physical fitness training.",201L,AS,Field Training Preparation I,Asian Studies,141574,Prerequisites: consent.; Grade Option: CR/NC only.,1
"Accounting systems analysis, control and design in manual and computerized environments. Knowledge and skills of information technology for auditing AIS systems. Hands-on experience with microcomputers and a computerized accounting system.",409,ACC,Accounting Information Systems,Accounting,141574,Prerequisites: ACC 323 (with C- or better or concurrent) and BUS 311 (with C or better).; Grade Option: A-F only.,3
"Provides an overview of accounting research in behavioral accounting topics. Specific research studies are examined as to their theoretical basis, design, implications, methodology, relevance, etc. PhD students in Business Administration only.",703,ACC,Research in Behavioral Accounting,Accounting,141574,Grade Option: A-F only.,3
"Detailed analysis of cinematic grammar, placement, movement, focus, and effects of the camera to create the mise-en-scene. Practical exercises to apply theory to individual creative work and in collaboration with actors from the Theatre program.",375,CINE,Directing the Camera for the Screen,Cinema,141574,"Prerequisites: ( CINE 310 , or CINE 215 and CINE 216 ), and CINE 350 , and CINE 370 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
"Required for Plan A candidates only; six credit hours required, one must be taken during semester that degree is being awarded.",700,ACC,Thesis Research,Accounting,141574,Prerequisites: MAcc student and School of Accountancy Director approval.; Repeatable: Up to 6 credit hours.; Grade Option: Satisfactory/Unsatisfactory only.; Major Restrictions: ACC majors only.,V
"Focus on auditing processes, standards, and guidance specific to IT risks. Exposure to advanced IT audit software and its practical application and real world IT audit issues.",619,ACC,Information and Assurance and Analytics,Accounting,141574,"Prerequisites: ACC 418 with C- or better, or consent.",3
Addresses current issues impacting the accounting profession. Topics vary each semester.,416,ACC,Special Topics in Accounting,Accounting,141574,"Prerequisites: consent.; Repeatable: 2 times, up to 9 credits.",V
"Student teams produce a short, animated film. Prior knowledge of 2D and 3D media authoring tools and animation techniques is necessary.",420,CINE,Animation Production II,Cinema,141574,"Prerequisites: CINE 317 or ( CINE 321 , CINE 322 , and CINE 323 ); and CINE 350 .; Repeatable: Repeatable one time.; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
"Accounting topics relating to consolidation requirements and introduction to the fundamentals of fund accounting, including the general fund, restricted funds, debt service funds, enterprise funds, general long-term account group, general fixed assets accounting group, and accounting entries for encumbrances.",415,ACC,Advanced Financial Accounting,Accounting,141574,Prerequisites: ACC 323 with C- or better.,3
"Survey of Asian and Asian American representations in American film and television from the silent era to the present, with an emphasis on Orientalism and multiculturalism, as well as performance and spectatorship.",352,CINE,Screening Asian Americans,Cinema,141574,Grade Option: A-F only.; Major Restrictions: SCA majors only.; Class Standing Restrictions: junior standing or consent.; Cross-Listed: AMST 352; General Education Designation(s): DH,3
"Examines federal income tax concepts, such as gross income, exclusions, deductions, exemptions, and tax credits, especially for sole proprietors. Introduces taxation of property transactions. Development of professional writing skills is integral to this course.",401,ACC,Federal Individual Income Taxation,Accounting,141574,"Prerequisites: ACC 200 and ACC 210 , or BUS 624 (with a minimum grade of C- or better).",3
"Students work independently to produce a short, animated film. Emphasis on visual storytelling and character animation.",418,CINE,Animation Production I,Cinema,141574,"Prerequisites: CINE 317 or ( CINE 321 , CINE 322 , and CINE 323 ); and CINE 350 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
"Applies the basic foundations, techniques, and theory of cinematography (covered in",412,CINE,Advanced Cinematography,Cinema,141574,Prerequisites: CINE 310 and CINE 312 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Laboratory consists of activities that focus and promote the Air Force way of life. Instruction will include leadership and followership development, teamwork, physical fitness training, and activities designed to build camaraderie and esprit de corps.",102L,AS,Initial Military Training II,Asian Studies,141574,Grade Option: CR/ NC only.; Major Restrictions: open to all majors.,1
"Intensive study of areas of law of importance to accountants. Particular attention is given to principles of law relating to contracts, sales, commercial paper, secured transactions, property, legal entities, agency, securities, and accountant’s legal liability.",413,ACC,Law for the Accountant,Accounting,141574,Prerequisites: BLAW 200 or consent.,3
"The Regulation section focuses on federal taxation, especially taxation of business entities; individuals, and property taxation, but also tests on business law, business ethics, and professional and legal responsibilities.",605,ACC,CPA Review-The Regulation,Accounting,141574,Prerequisites: ACC 407 (or concurrent).; Grade Option: CR/NC only.,1
"History and theoretical background of accounting standards. Including accounting theories, formulating and testing theories; scientific, pragmatic, syntactic and semantic theories; normative and positive theories. Literature supportive and critical of accounting theories and standards.",616,ACC,Accounting Theory and Development,Accounting,141574,"Prerequisites: ACC 323 with C- or better, or consent.",3
"Essential principles of 3D modeling in order to create both organic character models and hard surface models. Students will create high-quality, animation-ready 3D models with textures and poses.",315,CINE,3D Modeling,Cinema,141574,Prerequisites: CINE 215; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Exposes students to the history, application, format, styles, and methods of creating storyboards and animatics. Visual storytelling will be analyzed by examining the foundational components of the visual language of a film.",321,CINE,Storyboarding and Animatics,Cinema,141574,Prerequisites: CINE 216; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Analyses of a firm’s profitability, liquidity, and solvency using ratios and common size financial statements. Students are expected to find strengths and weaknesses of the firm based on their analysis.",648,ACC,Financial Statements Analysis,Accounting,141574,Prerequisites: ACC 323; Corequisites: ACC 660; Grade Option: A-F only.,1
Theories and studies of indigenous films and creation of a cinematic project based in indigenous cultural and value systems.,455,CINE,Indigenous Filmmaking,Cinema,141574,"Prerequisites: CINE 310 , CINE 350 , and one of the following; CINE 312 , CINE 330 , CINE 370 , CINE 372 , or CINE 374 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
Independent research or creative project under the supervision of a faculty member. Only six credits of,499,CINE,Directed Study,Cinema,141574,"Prerequisites: CINE 350 and consent, and one of CINE 310 , CINE 315 , CINE 316 , CINE 317 , CINE 321 , CINE 322 , CINE 323 , CINE 330 .; Repeatable: Repeatable up to 6 credits.; Major Restrictions: SCA majors only.",V
"Application of GAAP to the recognition and measurement of long-term liabilities, investments, contributed capital, retained earnings, accounting changes and errors, income recognition, accounting for income taxes, pensions, leases, and statement of cash flows.",323,ACC,Intermediate Financial Accounting II,Accounting,141574,Prerequisites: ACC 321 with C- or better.,3
"Theoretical and real life aspects of forensic accounting. Includes discussions of the legal environment, types of forensic engagements such as, lost earnings, business valuations, fraud, and real world forensic cases.",425,ACC,Forensic Accounting,Accounting,141574,"Prerequisites: ACC 418; Repeatable: 1 time, but credit earned one time only.; Grade Option: A-F only.",1
Provides the tools necessary for understanding the principles of fiscal accountability and reporting in governmental and not-for-profit organizations.,635,ACC,Advanced Public Sector Accounting,Accounting,141574,"Prerequisites: ACC 415 with C- or better, or consent.; Major Restrictions: ACC majors only.",3
"Involves close textual analysis of film, TV and multimedia content. The course includes cinematic and television screenings. Junior standing or higher.",480,CINE,Oceanic Media and Culture,Cinema,141574,Prerequisites: CINE 255 or consent.; Grade Option: A-F only.,3
"Focus on the concept of genre, genre films, genre film criticism, and popular genres such as the Western, film noir, and Chinese martial arts.",380,CINE,Genre and Narrative Theory in Cinematic Arts,Cinema,141574,Prerequisites: CINE 255 or consent.; Repeatable: Repeatable one time on different topics.; Grade Option: A-F only.; General Education Designation(s): DH,3
"Workshop introducing the basic principles and approaches of scenic design for theatre and dance, with emphasis on the creative process.",353,CINE,Scenic I: Beginning Scenic Design,Cinema,141574,"Prerequisites: a course in THEA or DNCE, production experience, or consent. (Consent required for production experience option).; Cross-Listed: DNCE 353 and THEA 353; General Education Designation(s): DA",3
Concentration on current issues impacting the accounting profession. Topics vary each semester.,690,ACC,Current Topics in Accounting,Accounting,141574,"Repeatable: 2 times, up to 9 credits.",V
Continuation of,102,AS,Foundations of the United States Air Force,Asian Studies,141574,Grade Option: A-F only.,1
On-the-job experience in the accounting community. Term paper and meetings with faculty advisor required.,395,ACC,Accounting Internship,Accounting,141574,Prerequisites: consent.; Grade Option: CR/NC only.,V
"Study of the total force structure, strategic offensive and defensive, general purpose, and aerospace support forces of the Air Force in the contemporary world.",101,AS,Foundations of the United States Air Force,Asian Studies,141574,Grade Option: A-F only.,1
"Emphasis on advanced production skills in creating a capstone project in live-action fiction film, animation, documentary, or new media. Screenwriting students may also develop a feature screenplay or television pilot and series bible.",486,CINE,Capstone Cinematic Production,Cinema,141574,Prerequisites: CINE 405 or CINE 410 or CINE 420 or CINE 455 or CINE 475 .; Repeatable: Repeatable one time.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Study of Air Force heritage, Quality Air Force principles, ethics, and an introduction to leadership and group leadership problems. Application of written and verbal communication skills is included.",201,AS,Evolution of USAF Air and Space Power,Asian Studies,141574,Grade Option: A-F only.,2
"A survey of the general concepts, rules, and practices involved in the taxation of sole-proprietorships, corporations, partnerships, and subchapter S corporations.",407,ACC,Taxation of Business Entities,Accounting,141574,Prerequisites: ACC 401 with C- or better.,3
Introduction to the basics of writing a short narrative screenplay for film or animation. Students learn the fundamentals and format of screenwriting as well as basic elements of storytelling and character development.,350,CINE,Screenwriting,Cinema,141574,Prerequisites: CINE 255 (or concurrent); Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Introduction to the study of cinema: history, aesthetics, and cultural impact.",255,CINE,Introduction to Cinema and Digital Media,Cinema,141574,Grade Option: A-F only.; General Education Designation(s): DH,3
Aesthetic theories and practices of indigenous cultures of the Pacific and their adaptation to the screen in cinematic storytelling.,360,CINE,Indigenous Aesthetics,Cinema,141574,"Prerequisites: CINE 255 , or consent.; Grade Option: A-F only.; General Education Designation(s): DH",3
"Advanced course examining the theory, techniques, and practices of motion picture editing; use of non-linear digital editing systems; and practical experience in digital editing projects.",372,CINE,Editing for Cinema,Cinema,141574,"Prerequisites: CINE 215 , CINE 216 , or CINE 310 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
"Integration of numerous elements of the accounting program. Current accounting issues discussed. Lectures, discussions, case analysis. (B) managerial-tax-ethics; emphasis on instruction in writing; (C) financial-auditing-accounting information systems.",465C,ACC,Accounting Capstone: Financial Accounting-Auditing-Accounting Information Systems,Accounting,141574,Prerequisites: ACC 401 (or concurrent) and ACC 418 (or concurrent) for (B); ACC 418 (or concurrent) for (C).; Grade Option: A-F only.; Major Restrictions: ACC majors only.,2
"Introduction to traditional styles and methods of hand drawn 2D, digital, and stop motion animation through theory and practice.",216,CINE,Introduction to 2D Animation,Cinema,141574,Prerequisites: CINE 255 (or concurrent) and ART 113 (or concurrent).; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Practical course on the theory, art, and techniques of sound recording, editing, and design for cinema. Students work on projects involving dialogue and sound effects in post-production.",374,CINE,Post-Production Sound,Cinema,141574,Prerequisites: CINE 372 (or concurrent).; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA,3
"Provides an overview of financial accounting research. Specific research studies are examined as to their theoretical basis, design, implications, methodology, relevance, etc.",701,ACC,Financial Accounting Research,Accounting,141574,Repeatable: 1 time; Grade Option: A-F only.; Major Restrictions: PhD students in Business Administration only.,3
"Integration of numerous elements of the accounting program. Current accounting issues discussed. Lectures, discussions, case analysis. (B) managerial-tax-ethics; emphasis on instruction in writing; (C) financial-auditing-accounting information systems.",465B,ACC,Accounting Capstone: Managerial Accounting-Tax-Ethics,Accounting,141574,Prerequisites: ACC 401 (or concurrent) and ACC 418 (or concurrent) for (B); ACC 418 (or concurrent) for (C).; Grade Option: A-F only.; Major Restrictions: ACC majors only.,2
"Provides an overview of managerial accounting research. Specific research studies are examined as to their theoretical basis, design, implications, methodology, relevance, etc. PhD students in Business Administration only.",702,ACC,Managerial Accounting Research,Accounting,141574,Grade Option: A-F only.,3
Introduction to the basic techniques of cinematic digital production and allows students to explore their personal voice in this process.,210,CINE,Introduction to Cinematic Digital Production,Cinema,141574,Grade Option: A-F only.; General Education Designation(s): DA,3
A project-based introduction to motion graphics using Adobe After Effects.,325,CINE,Motion Graphics,Cinema,141574,Prerequisites: CINE 215 and CINE 216 ; or CINE 310 .; Grade Option: A-F only.; Major Restrictions: SCA majors only.,3
"Provides an overview of accounting research in Auditing and International Accounting topics. Specific research studies are examined as to their theoretical basis, design, implications, methodology, relevance, etc.",705,ACC,Research in Auditing and International Accounting,Accounting,141574,Grade Option: A-F only.; Major Restrictions: PhD student status in business administration or consent.,3
"Examines international, state, and local tax issues. Topics include U.S. International taxation of in- and out-bound transactions, sourcing of income and deductions and nexus.",639,ACC,Multijurisdictional Taxation,Accounting,141574,Prerequisites: ACC 401 with C- or better.,2
Specialized techniques in the creation of digital media: taught by regular and visiting faculty.,386,CINE,Techniques in Cinematic Arts,Cinema,141574,"Prerequisites: CINE 215 , CINE 216 , or CINE 310 .; Repeatable: One time in different topics.; Grade Option: A-F only.; Major Restrictions: SCA majors only.; General Education Designation(s): DA",3
"Examines advanced topics in federal taxation of partners and partnerships regarding the contribution, operation, and distribution from partnerships and transfers of partnership interests.",631,ACC,Tax of Partners/Partnerships,Accounting,141574,"Prerequisites: ACC 407 with C- or better, or consent.",2
"Introduction to visual analytics. Tableau and Power BI for Excel. Introduction to data processing and blending, data visualization and other visualization techniques. Introduction to PowerQuery, PowerPivot, PowerView, and PowerMap.",649,ACC,Data Analytics for Accountants,Accounting,141574,"Repeatable: 2 times, up to 3 credits.",V
