course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
ACC,124,Principles of Accounting I,"Introduces basic accounting principles and practices for service and/or merchandising types of businesses. Areas include: accounting as an information system, the accounting cycle, financial statements, and internal control, current and/or long-term assets, current liabilities and payroll. Special emphasis will be placed upon the practical application of accounting principles.",3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: ENG 19 with grade C or better or placement at least ENG 22, and MATH 75X with grade C or better or placement at least MATH 82, or consent"
ACC,125,Principles of Accounting II,"Continues the study of financial accounting procedures. Areas include: long-term assets, long-term liabilities, accounting for corporations and/or partnerships.",3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: ACC 124 with grade C or better, or consent"
ACC,132,Payroll & Hawai‘i General Excise Tax,"Introduces principles, manual and computerized procedures, and terminology for business applications of payroll accounting. Includes preparation and filing of federal and Hawai‘i state forms for payroll taxes and Hawai‘i General Excise and Use Tax.",3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: ACC 124 or ACC 201 (or concurrent), or consent"
ACC,134,Individual Income Tax Preparation,Introduces the preparation of federal and State of Hawai‘i individual income tax returns with an emphasis on tax laws and regulations and their application to the tax returns. This course is intended for an individual preparing basic tax returns under the supervision of an accounting professional.,3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: ENG 22 with grade C or better, or placement at ENG 100, or consent"
ACC,137,Business Income Tax Preparation,Introduces Federal and Hawai‘i tax laws and regulations and basic return preparation for business entities. This course is intended for an individual preparing basic tax returns under the supervision of an accounting professional. The student will learn to conduct basic tax research using online databases and resources. The student will also learn to prepare tax returns both manually and using commercial tax software.,3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: ACC 134 with grade C or better, or consent"
ACC,193v,Applies skills to the workplace in an occupation within the student's area of interest.  See Special Curricula - Cooperative Education for more information.,Applies skills to the workplace in an occupation within the student's area of interest.  See Special Curricula - Cooperative Education for more information.,3,Accounting,141839,Class Hours: 3 lecture; Prerequisites: Consent of Instructor
ACC,201,Introduction to Financial Accounting,"Introduces accounting principles and practices used to record and communicate financial information. Analyzes methods for valuating assets, liabilities, and equity of an organization. (Letter and Audit grades only.)",3,Accounting,141839,Class Hours: 3 lecture; Prerequisites: ACC 124 with grade C or better; or both ENG 22 with grade C or better (or placement at ENG 100) and MATH 75X with grade C or better (or placement at least MATH 82); or consent.
ACC,202,Introduction to Managerial Accounting,"Introduces methods for evaluating financial performance, including cost accounting, budget, break-even analysis, ratio analysis, and sources and uses of funds. (Letter and Audit grades only.)",3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: ACC 125 or ACC 201, or consent."
ACC,252,Using QuickBooks® in Accounting,Provides “hands-on” approach to computerized accounting using QuickBooks®. Applies previously acquired accounting skills and knowledge in a computerized environment to set up and maintain accounting records. Emphasis will be placed on the application of QuickBooks® to the accounting cycle.,3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: Prereq or coreq: ACC 125/201, and BUSN 150 or ICS 101, both with C or better or consent."
ACC,255,Using Excel in Accounting,Provides “hands-on” training in the use of spreadsheets on computers to solve accounting problems. Applies previously acquired accounting skills and knowledge. Emphasizes financial and managerial accounting.,3,Accounting,141839,"Class Hours: 3 lecture; Prerequisites: ACC 202 (or concurrent) and either BUSN 150 or ICS 101, both with grade C or better, or consent."
