course_desc,course_number,course_prefix,course_title,dept_name,inst_ipeds,metadata,num_units
"An introduction to accounting principles and practices used to record and communicate financial information. Analyze methods for valuing assets, liabilities, and equity of an organization.",201,ACC,Introduction to Financial Accounting,ACCOUNTING,141981,Pre: Placement into ENG 100 or equivalent.,3
"An introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, ration analysis, standard cost systems, and reporting for internal decision making.",202,ACC,Introduction to Managerial Accounting,ACCOUNTING,141981,Pre: ACC 201 with C- or better.,3
"Application of generally accepted accounting principles to the recognition and measurement of liabilities, contingencies, contributed capital, retained earnings, investments, accounting changes and errors, income recognition, accounting for income taxes, pensions, leases, and the statement of cash flows. (Previously BUSA 313)",323,ACC,Intermediate Financial Accounting II,ACCOUNTING,141981,Pre: BUSA 312.,3
"Examines federal taxation of individuals including the following: individual tax formula, gross income, inclusions, exclusions, deductions, exemptions, and tax credits. (Previously BUSA 319)",330,ACC,Federal Tax: Individual Income,ACCOUNTING,141981,Pre: BUSA 312.,3
"Output of cost accounting systems relevant to managerial decision-making, planning, and control. Topics include: job order, process, direct and standard cost systems, with emphasis on the creative application and analysis of costs. (Previously BUSA 318)",340,ACC,Intermediate Managerial Accounting,ACCOUNTING,141981,Pre: ACC 202; and MATH 103 or MATH 115 or higher MATH.,3
"Introduction of the basic theoretical, conceptual, and practical aspects of the accounting information system (AIS). The course will emphasize the design, use, management, audit, and maintenance of such systems, including the latest developments. The course includes hands-on microcomputer spreadsheet and general ledger and associated computer applications. (Previously BUSA 416)",409,ACC,Accounting Information Systems,ACCOUNTING,141981,Pre: BUSA 311 or BUSA 312;  and ICS 101.,3
"Discussion of auditing concepts, including standards, objectives and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, statistical sampling, and EDP audits. (Previously BUSA 415)",418,ACC,Auditing,ACCOUNTING,141981,"Pre: Completion of, or concurrent enrollment in ACC 323.",3
"Advanced accounting topics include business acquisition and combinations, consolidations, consolidating worksheets and consolidating financial statements. Also included are accounting for partnerships, intercompany transactions, and foreign currency translation. (Previously BUSA 418)",419,ACC,Advanced Accounting,ACCOUNTING,141981,Pre: ACC 323.,3
An introduction to the federal income tax structure as it applies to corporations and partnerships. The major focus will be upon the conceptual and legal underpinnings of the Internal Revenue Code. (Previously BUSA 419),430,ACC,Corporate and Partnership Tax,ACCOUNTING,141981,Pre: BUSA 312.,3
"This course is a survey of the Federal wealth transfer tax system. Topics include computation of the gift tax and the estate tax, and gift and estate compliance requirements. (Previously BUSA 459)",431,ACC,Estate and Gift Taxation,ACCOUNTING,141981,Pre: ACC 330 with a grade of C- or better.,3
Concepts and principles for not-for-profit entities with emphasis on governmental units. Introduction to the fundamentals of fund accounting and financial reporting for state and local government. (Previously BUSA 414),450,ACC,Governmental Accounting,ACCOUNTING,141981,Pre: BUSA 312.,3
"This course is used as a guide in applying, studying and taking parts of the Certified Public Accounting (CPA) exams. The CPA exams are extremely difficult to pass, but with the help of the professor as well as other peers in the class, the hard work and dedication can pay off. (Previously BUSA 420)",480,ACC,Professional Certifications in Accounting,ACCOUNTING,141981,No Prerequisites,3
Topics selected will be based on program relevancy and student interest. Course content will vary. May be repeated for credit.,-98,ACC,Selected Topics,ACCOUNTING,141981,v 1-6,3
Individual projects in various subjects. To be arranged with the instructor.,-99,ACC,Directed Reading and Research,ACCOUNTING,141981,Pre: Instructor approval. v,3
"Study of the total force structure, strategic offensive and defensive, general purpose, and aerospace support forces of the Air Force in the contemporary world. A-F only.",101,AS,Foundations of the United States Air Force,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression.",1
"Laboratory consists of activities that focus and promote the Air Force way of life. Instruction will include leadership and followership development, teamwork, physical fitness training, and activities designed to build camaraderie and esprit de corps. Course is open to all majors. CR/NC only.",101L,AS,Initial Military Training I,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression.",1
Continuation of 101. A-F only.,102,AS,Foundations of the United States Air Force,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression.",1
"Laboratory consists of activities that focus and promote the Air Force way of life. Instruction will include leadership and followership development, teamwork, physical fitness training, and activities designed to build camaraderie and esprit de corps. Course is open to all majors. CR/NC only.",102L,AS,Initial Military Training II,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression.",1
"Study of Air Force heritage, Quality Air Force principles, ethics, and an introduction to leadership and group leadership problems. Application of written and verbal communication skills is included. A-F only.",201,AS,Evolution of USAF Air and Space Power,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression.",2
"Pre: consent. Laboratory consists of preparing second-year AFROTC cadets with the skills needed to successfully complete AFROTC Field Training. Students will learn basic military skills, Field Training skills, and participate in physical fitness training. CR/NC only.",201L,AS,Field Training Preparation I,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Pre: consent",1
Continuation of 201. A-F only.,202,AS,Evolution of USAF Air and Space Power,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression.",2
Pre: consent. Continuation of 201L. CR/NC only.,202L,AS,Field Training Preparation II,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Pre: consent",1
"Coreq: AS 101 and 201; or consent. Laboratory on the basic skills of leadership and followership. Lab includes application of leadership/followership skills, various field trips to military installations, group projects, and physical training. Repeatable one time. CR/NC only. (Fall only)",251L,AS,Leadership Laboratory,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Coreq: AS 101 and 201; or consent. Repeatable one time. (Fall only)",1
"Coreq: AS 102 and 202. Continuation of 251L. Repeatable unlimited times, but credit earned one time only. Sophomore standing or higher. Open to all majors. CR/NC only. (Spring only)",252L,AS,Leadership Laboratory II,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Coreq: AS 102 and 202. Repeatable unlimited times, but credit earned one time only. Sophomore standing or higher. (Spring only)",1
Focuses on an examination of ethical Air Force leadership and management concepts. Continued emphasis is given to the refinement of ethical thought through writing and debate. A-F only.,301,AS,Air Force Leadership Studies,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression.",3
"Pre: must have completed AFROTC Field Training; or consent. Laboratory consists of demonstration of leadership and management skills needed to successfully function as an Air Force officer. Instruction will include lessons covering planning, organizational and communication skills, and the ability to use available resources to complete an assigned task. CR/NC only.",301L,AS,Intermediate Cadet Leader I,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Pre: must have completed AFROTC Field Training; or consent.",1
Pre: must have completed 301. Continuation of 301. Focuses on an examination of Air Force leadership and management concepts. Continued emphasis is given to the refinement of both written and oral communicative skills. A-F only.,302,AS,Air Force Leadership Studies II,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Pre: must have completed 301",3
Pre: must have completed AFROTC Field Training; or consent. Continuation of 301L. CR/NC only.,302L,AS,Intermediate Cadet Leader II,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Pre: must have completed AFROTC Field Training; or consent.",1
"Pre: Must have completed 301 and 301; or consent. Study of the national security process, regional studies, advanced leadership, ethics, and Air Force doctrine. Special focus placed on preparation for active duty and current issues affecting professionalism. A-F only. (Fall only)",401,AS,National Security Affairs,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Pre: Must have completed 301 and 301; or consent. (Fall only)",3
"Pre: must have completed 301 and 302; or consent. Laboratory consists of providing prospective Air Force officers opportunities to continue to develop leadership, managerial, and supervisory skills. Instruction will include preparation for active duty. CR/NC only. (Fall only)",401L,AS,Senior Cadet Leader I,AEROSPACE STUDIES,141981,"The leadership laboratory is required for all courses. Conducted within the framework of organized cadet corps with progression of experiences designed to develop leadership potential. Involves Air Force customs and courtesies, drills, and career progression. Pre: must have completed 301 and 302; or consent. (Fall only)",1
Continuation of 401. A-F only.,402,AS,National Security Affairs,Aerospace Studies,141981,Pre: 401 or consent.,3
"Laboratory consists of providing prospective Air Force officers opportunities to continue to develop leadership, managerial, and supervisory skills. Instruction will include preparation for active duty. CR/NC only.",402L,AS,Senior Cadet Leader II,Aerospace Studies,141981,Pre: must have completed 301 and 302L; or consent.,1
"In both a local and larger global context, we will examine the current trends in the travel industry, as well as its future for understanding the importance of sustainability. Students will explore the economic, environmental political, cultural and societal components of sustainable tourism. There will be offsite visits in which students experience and learn from local practitioners promoting sustainability and authenticity in the tourism industry. Both off site hosts and speakers will share about both successes and challenges they encounter as well as logistical aspects of the industry. (Cross-list BUSA 122)",122,ANTH,Introduction to Sustainability and the Travel Industry in Hawai‘i,Anthropology,141981,No prerequisites listed.,3
