course_desc,course_number,course_prefix,course_title,dept_name,inst_ipeds,metadata,num_units
Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm.,200,ACC,Introduction to Accounting I,Accounting,141990,Lecture Hours: 3,3
"Introduction to accounting principles and practices used to record and communicate financial information. Analyze methods for valuating assets, liabilities, and equity of an organization.",201,ACC,Introduction to Financial Accounting,Accounting,141990,Pre: Placement into ENG 100 or equivalent; Lecture Hours: 3,3
"An introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, ratio analysis, standard cost systems, and reporting for internal decision making.",202,ACC,Introduction to Managerial Accounting,Accounting,141990,Pre: ACC 201 with “C” or better.; Lecture Hours: 3,3
Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II.,210,ACC,Introduction to Accounting II,Accounting,141990,Pre: A grade of C or better in ACC 200.; Lecture Hours: 3,3
"ACC 252 provides ""hands-on"" approach to computerized accounting using QuickBooks®. This course applies previously acquired accounting skills and knowledge in a computerized environment to setup and maintain accounting records. Emphasis will be placed on the application of QuickBooks® to the accounting cycle. This course also presents the basic concepts of an accounting information system and methods to document such systems. The course content of ACC 252 prepares students for the QuickBooks® Certification Examination.",252,ACC,Using Quickbooks® in Accounting,Accounting,141990,Pre: Credit or concurrent enrollment in ACC 201 or consent of instructor.; Lecture Hours: 3,3
"ACC 255 provides hands-on training in the use of spreadsheets to solve accounting problems. Coursework involves application of previously acquired accounting skills and knowledge with emphasis on financial and managerial accounting. This course also reviews basic database concepts, and introduces basic Data Analytics concepts and applications in accounting.",255,ACC,Using Excel® in Accounting,Accounting,141990,Pre: Credit for or concurrently enrolled in ACC 201 or the consent of instructor.; Lecture Hours: 3,3
"This course provides college credit for compensated work experience to reinforce knowledge and skills learned in coursework for the Agricultural Technology Program. Related instruction may be provided as appropriate. Seventy-five hours of work per semester is required for each credit earned. Repeatable to a total of 4 credits that may be applied to the AS degree, 1 credit applicable toward Certificate of Completion.",93V,AG,Cooperative Education,Agriculture,141990,Pre: Open to Agriculture majors only. Instructor’s permission is required.,1-4
"Familiarizes students with different agricultural operations in Hawai‘i through lectures, guest speakers and fieldtrips.",100,AG,Agriculture Orientation: Careers,Agriculture,141990,Lecture Hours: 1,1
"The study of plant science, morphology, anatomy, physiology classification, growth, growth regulators, and propagation. Students are required to write a 10 to 15 page research report.",120,AG,Plant Science,Agriculture,141990,Lecture Hours: 2; Lab Hours: 2,3
"Strategies of integrated pest management; biological and cultural pest controls, weed control, disease control, insect control.",132,AG,Integrated Pest Management,Agriculture,141990,Lecture Hours: 3,3
"Introduction to the principles and practices of propagation of fruit, vegetable, and ornamental crops by seed, cuttings, grafting, budding, layering and division.",149,AG,Plant Propagation,Agriculture,141990,Lecture Hours: 3,3
